"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Study on effects of different methods of health education on tuberculosis among the primary and middle school students in rural areas of northern Jiangsu Province","Pingmin Wei; Xiaona Cong; Wanqin Tang; Shang Cao; Peng-fei Luo; Wei Li; Danyi Luo","Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China; Southeast university, School of public health, Nanjing 210009, China","2011 International Conference on Remote Sensing, Environment and Transportation Engineering","28 Jul 2011","2011","","","8533","8537","Objective To study the core message awareness of tuberculosis(TB) prevention and treatment among the primary and middle school students in rural areas of northern Jiangsu Province and to relevant influencing factors. To evaluate the intervention effects of different methods of health education on Tuberculosis, and provide a health education method which take the best effect. Methods Ten primary and middle schools were selected by stratified random sampling in rural areas of northern Jiangsu Province. There were 6 000 students to finish the questionnaires including the general information, knowledge, attitude, practice of TB prevention and treatment. 100 students per school and three primary and three middle schools were selected by multistage cluster sampling in three rural areas of northern Jiangsu Province. The interviews were divided into two intervention groups (comprehensive intervention and General intervention) and one control group. Results The general awareness rates of core messages on TB were 35.4%. The results of the multiple linear regression analysis showed that sex, age, father education, family type, and family income were significantly associated with increased knowledge scores. The awareness rates of the TB core information of comprehensive intervention group, the general intervention group and the control group were 90.5%, 81.5% and 60.4% after intervention. Conclusion Knowledge on tuberculosis prevention and control should be improved among the primary and middle school students in rural areas of northern Jiangsu Province. Compared with the general intervention group, comprehensive intervention education on TB was suitable for the primary school students in rural areas of northern Jiangsu Province.","","978-1-4244-9171-1","10.1109/RSETE.2011.5964153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5964153","Tuberculosis;primary and middle school students;Health education;Intervention effects","Educational institutions;Diseases;Instruments;Linear regression;Public healthcare","biomedical education;diseases;medical computing;patient treatment;regression analysis;sampling methods","health education;tuberculosis;primary school students;school students;rural areas;northern Jiangsu Province;core message awareness;tuberculosis prevention;tuberculosis treatment;intervention effects;stratified random sampling;multistage cluster sampling;multiple linear regression analysis;sex;age;father education;family type;family income","","","","16","","28 Jul 2011","","","IEEE","IEEE Conferences"
"Oral health education of schoolchildren through audio-visual methods","L. Dumitrascu; M. A. Dumitrache; R. I. Sfeatcu; L. Podoleanu; E. Podoleanu","University of Medicine and Pharmacy “Carol Davila”, Bucharest, Faculty of Dental Medicine; University of Medicine and Pharmacy “Carol Davila”, Bucharest, Faculty of Dental Medicine; University of Medicine and Pharmacy “Carol Davila”, Bucharest, Faculty of Dental Medicine; University of Medicine and Pharmacy “Carol Davila”, Bucharest, Faculty of Dental Medicine; University of Medicine and Pharmacy “Carol Davila”, Bucharest, Faculty of Dental Medicine","2011 E-Health and Bioengineering Conference (EHB)","13 Feb 2012","2011","","","1","4","The teaching methods used in oral health education have an important impact on changing children's attitudes and behaviors. This study took place in 2009, in the School No. 135 ""Ştefan cel Mare”, placed in Ferentari neighborhood. Method. Participants included 194 children from the second and third grade, 55% boys and 45% girls. We used a 16-questions questionnaire measuring their attitudes and oral health behaviors. The teaching process was based on persuasive communication using audio-visual channels. Results show a change in pupils' behavior, the percent of children that brush their teeth after every meal increased, and the frequency of meals decreased. The attitude toward dental esthetics and intelligence, kindness, age and socio-economic status has changed, the number of the children that are victims of stereotypes decreased. In conclusion, the study demonstrates that using modern, audiovisual channels for sending the message has a significant impact on children. Adjusting the content and the presentation of the message to the age, cognitive development and interests of our target group will lead to important changes in their attitudes toward illness, treatments and dental care.","","978-606-544-078-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6150379","education;oral health;schoolchildren;audiovisual","Dentistry;Pediatrics;Teeth;Educational institutions;Motion pictures;Pain","biomedical education;dentistry;educational aids;teaching","oral health education;audiovisual methods;second grade schoolchildren;third grade schoolchildren;oral health behaviors;persuasive communication;tooth brushing;dental care","","","","10","","13 Feb 2012","","","IEEE","IEEE Conferences"
"Effects of computer and internet utilization over young people in world and Turkey: Considered with education and health applications","P. Kırcı","Computer Engineering Department, Istanbul University, Istanbul, Turkey","2015 10th International Conference on Computer Science & Education (ICCSE)","10 Sep 2015","2015","","","395","398","Internet is one of the most remarkable technological inventions for humanity. The production aim of the related technology is connecting computers all over the world to each other for providing applications and communication in different ways such as with e-mail, chat, file transfer and social networking, also shopping and banking. In our century, young people are more interested in new technologies and internet so they are effected from these innovations more than other age groups. For this reason, utilizing from internet for educating students is a wisely, easy and cheaper way, compared with the old traditional classroom education methods for both teachers and students. Therefore, education with internet attracts more attention by teachers, students and researchers. Also, these novelties provide many improvements in health area that effect the life quality of many people. Thus, utilizing from internet for health services is also a wisely, easy and cheaper way.","","978-1-4799-6600-4","10.1109/ICCSE.2015.7250277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7250277","Learning with internet;internet usage effects on students;internet applications;health","Internet;Education;Computers;Wireless networks;Mobile handsets;Europe;Technological innovation","educational computing;health care;Internet","computer utilization;Internet utilization;young people;Turkey;education applications;health applications;technological invention;e-mail;chat;file transfer;social networking;shopping;banking;classroom education;teachers;students;researchers","","1","","14","","10 Sep 2015","","","IEEE","IEEE Conferences"
"An Empirical Study on the Mobile Informatization Teaching Model Applied to College Students Mental Health Education Course","X. Zhao; X. Li; J. Yin","Coll. of Literature & Art Media, Tongling Univ., Tongling, China; Acad. Affairs Divisionline, Tongling Univ., Tongling, China; Coll. of Foreign Language, Tongling Univ., Tongling, China","2018 1st International Cognitive Cities Conference (IC3)","9 Dec 2018","2018","","","295","298","This paper studied the Mobile informatization teaching model applied in the college students' mental health education course in order to see its effect on improving the level of college students' mental health. In this study, we used the pretest-posttest experimental designs. The mobile teaching application -super star xuexitong was taken as the teaching tool. Subjects were divided into the experimental group and the control group and were measured by the Symptom check list-90. In pretest, there was no significant difference between the experimental group and the control group. In posttest, the experimental group's the Symptom checklist-90 scores changed significantly, In addition to psychotic factor, all other factors' scores were significantly lower than the control group, the experimental group's the Symptom check list-90 scores also had great significant differences in pretest and posttest. Similarly, in the questionnaire survey of ""Simple Teaching Effectiveness Evaluation"", there was a significant difference in the satisfaction of the teaching effect between the experimental group and the control group. In terms of satisfaction of teaching effect, the experimental group was significantly better than the control group. The mobile informatization teaching model applied to the teaching practice of mental health education course can improve college students' mental health. Students who used the mobile informatization teaching model showed a higher satisfaction than control group.","","978-1-5386-5059-2","10.1109/IC3.2018.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8567231","Mobile Informatization Teaching Model, The Symptom Checklist-90, College Students Mental Health Education Course","Education courses;Psychology;Statistical analysis;Tools;Online services;Sensitivity","biomedical education;computer aided instruction;educational courses;educational institutions;health and safety;health care;psychology;teaching","college students mental health education course;pretest-posttest experimental designs;teaching tool;teaching practice;mobile informatization teaching model;mobile teaching application;super star xuexitong;simple teaching effectiveness evaluation","","1","","5","","9 Dec 2018","","","IEEE","IEEE Conferences"
"Study of health education for university students in the new period","L. Gao","Division of Physical Education, Zhejiang University of Science and Technology, Hangzhou, China","Proceedings 2011 International Conference on Human Health and Biomedical Engineering","26 Sep 2011","2011","","","929","931","Health education is an important part of school education. In this paper, we investigate the health problems of university students, the status of health education, students' knowledge of health and their attitudes. The problems existing in health education and their causes are analyzed, and the corresponding countermeasures and suggestions have been proposed to improve the health status of students.","","978-1-61284-726-9","10.1109/HHBE.2011.6028975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6028975","college students;health education;new period;strategy","Educational institutions;Psychology;Diseases;Training;Humans","biomedical education;further education;health care","health education;university students;school education;health problems","","","","4","","26 Sep 2011","","","IEEE","IEEE Conferences"
"Cloud computing application in health vocational education","Yaqin Tong; Huanli Ruan; Yuzai Jiang","Department of Health Information Management, Ningbo College of Health Sciences, Zhejiang, China, 315100; Department of Health Information Management, Ningbo College of Health Sciences, Zhejiang, China, 315100; Department of Machinery, Ningbo Vocational Education Centre School, Zhejiang, China, 315100","2012 International Symposium on Information Technologies in Medicine and Education","30 Aug 2012","2012","1","","72","75","Facing the current inadequacy of informatization in health vocational education, this paper focuses on setting up a cloud-computing-based model for health vocational education, designing to use cloud computing reliable and secure data storage, convenient web services and strong capability of calculation. It will have positive effect on health vocational education informatization in China.","","978-1-4673-2108-2","10.1109/ITiME.2012.6291250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6291250","Cloud computing;health vocational education;informatization","Education;Databases;Libraries","biomedical education;cloud computing;computer aided instruction;health care;security of data;storage management;Web services","cloud computing application;informatization inadequacy;secure data storage;data storage reliability;Web services;Chinese health vocational education informatization","","","","6","","30 Aug 2012","","","IEEE","IEEE Conferences"
"On study of psychological health education of college students in the construction of harmonious society","Z. Qiuyan","College of the Arts, Beihua University, Jilin Jilin 132013, P.R. China","Proceedings 2011 International Conference on Human Health and Biomedical Engineering","26 Sep 2011","2011","","","784","787","This thesis starts with the illustration of the connotation of harmonious society to propose that the construction of harmonious society is inseparable to the psychological health education of college students. Next it expounds on the connotation of harmonious society. Finally it specifically analyzes the significance of strengthening psychological health education for college students and the educational measures to deal with college students psychological problems.","","978-1-61284-726-9","10.1109/HHBE.2011.6028944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6028944","college student;psychological health;harmonious society","Psychology;Educational institutions;Cultural differences;Employee welfare;Humans;Economics","education;health care;psychology;social sciences","psychological health education;college students;harmonious society construction;psychological problems","","2","","3","","26 Sep 2011","","","IEEE","IEEE Conferences"
"The Effect of Arts Education on the Mental Health of Teenagers","H. Li; Q. Xing","Beijing Normal University,School of Arts and Communication,Beijing,China; Beijing Normal University,School of Arts and Communication,Beijing,China","2020 International Symposium on Advances in Informatics, Electronics and Education (ISAIEE)","16 Apr 2021","2020","","","129","132","Art education has been valued in Chinese elementary and middle school education, but the role of art education has not been understood totally on the mental health of young people. This paper analyses the psychological development of adolescents, mainly explains the importance of arts education to the mental health, and put forward some suggestions for the development of art education in schools. We hope there will be more support for arts education in schools.","","978-1-7281-5668-2","10.1109/ISAIEE51769.2020.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9403306","arts education;mental health;psychological development","Technological innovation;Art;Education;Mental health;Informatics","","","","","","4","","16 Apr 2021","","","IEEE","IEEE Conferences"
"Research on the Value of Physical Education in School to the Physical & Mental Health Development of Teenagers","C. Lin; H. Yang","Xinhua College of Sun Yat-sen University,Department of Physical Education,Guangzhou,Guangdong; Academy of Physical Education, Guangzhou University,Guangzhou,Guangdong,China","2020 International Conference on Modern Education and Information Management (ICMEIM)","5 Apr 2021","2020","","","722","725","Teenagers are the future of the country, and their development is related to the future and destiny of the Chinese nation. Therefore, teenagers' physical and mental health has attracted widespread attention from the government, society, schools and families. By using physical education in school as an entry point, this paper expounds on the unique value of physical education in school to teenagers' physical and mental health development.","","978-1-7281-9623-7","10.1109/ICMEIM51375.2020.00161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9384623","physical education in school;teenagers;physical & mental health;value","Training;Obesity;Education;Mental health;Turning;Stress;Sports","","","","","","14","","5 Apr 2021","","","IEEE","IEEE Conferences"
"Development of a health education model","S. Shervais; T. Shannon","Eastern Washington University, U.S.A.; Western Oregon University, U.S.A.","2017 6th International Conference on Informatics, Electronics and Vision & 2017 7th International Symposium in Computational Medical and Health Technology (ICIEV-ISCMHT)","19 Apr 2018","2017","","","1","1","Changing demographics, patterns of funding, and demands of society present policy-makers with a severe challenge when allocating resources to higher education for both general education and for health services education. The full impacts of resource decisions may not be seen until one or more four-year educational cycles have been completed. Policy-makers require tools that will let them easily assess the impacts of a range of possible choices. We present preliminary work on both a Systems Dynamics model and a Markov model designed to do just that. The Markov model is a simple chain of transition probabilities, designed to validate the Systems Dynamics model over a linear range. The Systems Dynamics model presents a more friendly user interface, and is capable of dealing with recursive and non-linear effects of the system. This presentation will describe the structure of the Oregon state higher education system, and show how it is captured in the present model. Some preliminary results will be described.","","978-1-5386-1023-7","10.1109/ICIEV.2017.8338536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8338536","","Education;System dynamics;Markov processes;Informatics;Computational modeling;Tools;User interfaces","biomedical education;computer aided instruction;further education;health care;human computer interaction;medical computing;user interfaces","general education;health services education;resource decisions;Markov model;Oregon state higher education system;systems dynamics model;educational cycles;friendly user interface;recursive effects;nonlinear effects","","","","","","19 Apr 2018","","","IEEE","IEEE Conferences"
